CustomerID,Age,Gender,MaritalStatus,Occupation,IncomeLevel,CreditLimit,CreditScore,CardType,YearsWithBank,NumberOfCreditCards,AverageMonthlySpending,LatePayments,CreditCardUsage,MobileBankingUsage,CustomerSatisfactionRating
CUST0084,50,Female,Widowed,Executive,82186,39826,739,Platinum,6,5,7566,0,0.19,Yes,2
CUST0085,58,Female,Divorced,Private Sector Employee,61362,12669,377,Silver,20,2,6714,10,0.53,Yes,1
CUST0086,25,Female,Widowed,Student,1808,2538,799,Gold,5,2,1116,1,0.44,Yes,3
CUST0087,22,Male,Divorced,Student,789,1985,502,Silver,2,1,1707,6,0.86,Yes,3
CUST0088,21,Female,Married,Student,3881,4185,592,Silver,2,1,3013,6,0.72,No,2
CUST0089,53,Female,Single,Business Owner,59819,35286,613,Gold,20,4,14114,1,0.4,Yes,3
CUST0090,50,Male,Single,Business Owner,191697,29417,741,Platinum,13,5,6765,1,0.23,No,2
CUST0091,37,Male,Single,Government Employee,70951,9331,386,Silver,4,1,8024,8,0.86,No,4
CUST0092,45,Female,Single,Executive,195052,30558,618,Gold,8,4,13139,3,0.43,Yes,4
CUST0093,22,Female,Divorced,Private Sector Employee,86601,12703,420,Silver,3,1,6732,9,0.53,Yes,2
CUST0094,33,Male,Widowed,Business Owner,119419,16007,774,Gold,12,4,5602,1,0.35,Yes,1
CUST0095,37,Male,Widowed,Private Sector Employee,49005,10272,802,Gold,8,3,3697,1,0.36,Yes,5
CUST0096,44,Female,Married,Executive,138304,37420,391,Silver,6,3,30310,8,0.81,Yes,3
CUST0097,57,Female,Widowed,Business Owner,68494,10463,349,Silver,11,5,7114,8,0.68,Yes,4
CUST0098,42,Female,Divorced,Private Sector Employee,98033,10006,504,Silver,14,5,6403,6,0.64,Yes,5
CUST0099,41,Female,Widowed,Business Owner,162215,36267,386,Silver,12,1,22485,3,0.62,Yes,5
CUST0100,35,Female,Single,Business Owner,80910,38019,310,Silver,10,5,29274,6,0.77,No,3
CUST0101,51,Female,Married,Private Sector Employee,50104,8118,566,Silver,7,1,4870,4,0.6,No,4
CUST0102,39,Male,Single,Business Owner,147194,33123,471,Silver,3,3,17223,7,0.52,No,5
CUST0103,35,Male,Divorced,Private Sector Employee,55521,7040,572,Silver,10,2,5702,6,0.81,Yes,5
CUST0104,63,Female,Married,Executive,230800,71568,327,Silver,14,2,52960,8,0.74,Yes,3
CUST0105,61,Male,Widowed,Executive,205897,53996,618,Gold,20,5,29157,1,0.54,Yes,4
CUST0106,40,Female,Single,Executive,179267,32500,516,Silver,20,4,17550,9,0.54,No,2
CUST0107,47,Male,Single,Private Sector Employee,81426,17095,848,Gold,1,2,3589,0,0.21,Yes,5
CUST0108,47,Female,Married,Executive,219407,45648,605,Gold,20,3,21911,2,0.48,Yes,3
CUST0109,42,Female,Widowed,Government Employee,79612,8122,405,Silver,20,4,5766,9,0.71,No,5
CUST0110,45,Female,Married,Private Sector Employee,41482,13675,514,Silver,9,3,12170,9,0.89,Yes,4
CUST0111,35,Male,Married,Executive,117412,44144,534,Silver,2,4,24279,10,0.55,No,4
CUST0112,43,Male,Married,Private Sector Employee,64126,12365,793,Gold,19,3,3462,1,0.28,Yes,4
CUST0113,38,Male,Divorced,Business Owner,179644,44220,498,Silver,17,5,28300,5,0.64,Yes,2
CUST0114,38,Male,Married,Government Employee,43125,15475,397,Silver,7,4,10523,3,0.68,Yes,2
CUST0115,23,Male,Divorced,Student,4068,4407,335,Silver,4,2,2600,5,0.59,Yes,1
CUST0116,52,Female,Married,Business Owner,127239,11903,624,Gold,14,2,6427,3,0.54,Yes,5
CUST0117,63,Male,Married,Business Owner,165378,33233,356,Silver,4,5,26586,8,0.8,No,1
CUST0118,59,Male,Divorced,Private Sector Employee,81728,15954,515,Silver,12,4,11327,9,0.71,Yes,2
CUST0119,37,Male,Married,Business Owner,104256,37685,387,Silver,5,4,30148,5,0.8,Yes,2
CUST0120,46,Female,Single,Executive,240776,65384,327,Silver,8,1,50999,9,0.78,Yes,3
CUST0121,28,Male,Widowed,Government Employee,26690,18799,778,Gold,3,5,3947,0,0.21,Yes,3
CUST0122,62,Female,Single,Business Owner,70217,14007,713,Gold,9,1,2801,1,0.2,No,1
CUST0123,60,Female,Divorced,Business Owner,139634,33234,648,Gold,9,1,14290,3,0.43,Yes,5
CUST0124,43,Male,Married,Executive,189916,21064,815,Platinum,3,3,5476,0,0.26,Yes,3
CUST0125,38,Female,Single,Business Owner,108129,48780,656,Platinum,17,1,18048,1,0.37,Yes,4
CUST0126,52,Female,Divorced,Private Sector Employee,31537,12059,512,Silver,13,1,8561,7,0.71,No,3
CUST0127,49,Female,Single,Private Sector Employee,65983,13003,628,Gold,2,2,7151,3,0.55,No,3
CUST0128,59,Female,Widowed,Private Sector Employee,71565,5721,817,Gold,19,4,2746,1,0.48,Yes,1
CUST0129,51,Male,Single,Private Sector Employee,78704,14089,369,Silver,20,5,9016,10,0.64,Yes,2
CUST0130,36,Female,Married,Business Owner,166681,10590,399,Silver,17,3,7518,7,0.71,No,4
CUST0131,63,Female,Divorced,Executive,166758,29372,677,Platinum,16,1,15860,1,0.54,Yes,2
CUST0132,56,Male,Single,Executive,202984,65990,731,Platinum,7,2,21116,0,0.32,Yes,2
CUST0133,63,Female,Single,Executive,98838,74148,767,Diamond,18,1,20761,0,0.28,No,4
CUST0134,43,Male,Single,Government Employee,67008,17321,409,Silver,16,3,15415,10,0.89,No,1
CUST0135,50,Male,Married,Business Owner,163096,15829,362,Silver,1,1,9022,3,0.57,No,2
CUST0136,45,Female,Widowed,Executive,80750,74856,713,Platinum,15,2,27696,1,0.37,Yes,1
CUST0137,42,Female,Divorced,Private Sector Employee,34266,12071,836,Gold,1,4,4466,1,0.37,No,5
CUST0138,43,Female,Widowed,Executive,111175,30334,610,Gold,1,3,10920,2,0.36,No,3
CUST0139,35,Male,Divorced,Executive,211244,30518,649,Gold,7,1,17395,2,0.57,Yes,4
CUST0140,64,Female,Widowed,Business Owner,138162,23988,499,Silver,18,2,15352,5,0.64,Yes,5
CUST0141,53,Male,Married,Government Employee,62356,10221,503,Silver,10,2,6745,10,0.66,Yes,3
CUST0142,37,Female,Married,Government Employee,60531,13271,728,Gold,13,1,5042,0,0.38,Yes,5
CUST0143,40,Female,Divorced,Private Sector Employee,93519,13599,419,Silver,17,2,7071,5,0.52,Yes,2
CUST0144,30,Female,Married,Private Sector Employee,32586,5376,433,Silver,9,4,2688,4,0.5,Yes,5
CUST0145,56,Male,Single,Executive,144674,38677,527,Silver,2,2,32488,10,0.84,No,5
CUST0146,32,Male,Married,Business Owner,99006,15683,502,Silver,11,2,10193,8,0.65,No,1
CUST0147,31,Female,Married,Government Employee,35165,9628,607,Gold,8,3,6065,2,0.63,No,5
CUST0148,56,Male,Married,Government Employee,54401,6786,445,Silver,9,5,3528,6,0.52,No,2
CUST0149,44,Female,Widowed,Executive,123250,73229,415,Silver,8,2,51260,4,0.7,Yes,5
CUST0150,28,Female,Divorced,Private Sector Employee,51649,15222,440,Silver,9,5,8219,6,0.54,No,3
CUST0151,56,Female,Divorced,Private Sector Employee,95476,6984,728,Gold,4,2,2374,1,0.34,Yes,4
CUST0152,20,Male,Married,Student,3835,4188,841,Gold,3,2,1884,1,0.45,Yes,4
CUST0153,38,Female,Divorced,Government Employee,47250,19619,657,Gold,1,5,12556,3,0.64,No,3
CUST0154,19,Male,Widowed,Student,3063,2792,338,Silver,3,2,1814,3,0.65,Yes,2
CUST0155,43,Male,Married,Private Sector Employee,55236,6705,318,Silver,5,2,3352,6,0.5,No,5
CUST0156,56,Female,Married,Executive,226308,70291,752,Diamond,17,3,14761,0,0.21,Yes,5
CUST0157,59,Female,Divorced,Government Employee,55554,6482,408,Silver,13,3,5574,3,0.86,No,1
CUST0158,19,Female,Married,Student,976,4551,631,Gold,2,2,2002,3,0.44,No,1
CUST0159,38,Female,Divorced,Private Sector Employee,45373,6900,449,Silver,20,4,4761,7,0.69,No,2
CUST0160,31,Female,Widowed,Private Sector Employee,83302,8473,492,Silver,2,2,6863,5,0.81,Yes,2
CUST0161,48,Female,Divorced,Business Owner,71459,28637,813,Platinum,5,1,5154,0,0.18,Yes,1
CUST0162,42,Male,Divorced,Government Employee,42478,9883,553,Silver,17,2,5929,6,0.6,Yes,2
CUST0163,45,Male,Single,Government Employee,51105,6865,398,Silver,12,5,4942,6,0.72,Yes,2
CUST0164,21,Female,Married,Student,2288,4350,509,Silver,4,2,2871,7,0.66,No,4
CUST0165,46,Female,Single,Private Sector Employee,59368,7630,849,Gold,10,2,3128,1,0.41,Yes,5
CUST0166,39,Female,Divorced,Executive,168001,57494,409,Silver,8,4,47720,8,0.83,No,1
CUST0167,34,Male,Single,Private Sector Employee,74355,17313,480,Silver,16,3,11599,4,0.67,Yes,5
CUST0168,52,Female,Single,Executive,225002,51804,516,Silver,4,1,36780,10,0.71,Yes,3
CUST0169,28,Female,Widowed,Government Employee,29526,19628,472,Silver,15,4,14721,4,0.75,Yes,2
CUST0170,60,Male,Divorced,Business Owner,107430,13284,668,Gold,15,5,4782,3,0.36,Yes,1
CUST0171,52,Female,Divorced,Executive,155694,56657,456,Silver,6,3,40793,10,0.72,Yes,1
CUST0172,55,Male,Single,Private Sector Employee,55691,17830,318,Silver,10,3,9628,6,0.54,No,4
CUST0173,56,Female,Married,Executive,199698,27989,546,Silver,9,1,22671,6,0.81,Yes,1
CUST0174,43,Male,Widowed,Private Sector Employee,58525,11904,443,Silver,4,2,6309,6,0.53,Yes,5
CUST0175,20,Female,Divorced,Student,180,2280,543,Silver,3,1,1276,8,0.56,Yes,5
CUST0176,20,Male,Widowed,Student,3164,4558,394,Silver,2,1,2370,4,0.52,Yes,1
CUST0177,59,Male,Widowed,Business Owner,108206,48324,542,Silver,20,1,25128,6,0.52,Yes,5
CUST0178,58,Male,Single,Private Sector Employee,41491,12312,841,Gold,5,2,5417,0,0.44,Yes,5
CUST0179,26,Male,Widowed,Private Sector Employee,41503,10284,650,Gold,16,1,4216,1,0.41,Yes,5
CUST0180,21,Female,Divorced,Student,2973,4645,350,Silver,2,2,3855,5,0.83,No,4
CUST0181,33,Male,Married,Business Owner,133083,28621,842,Platinum,5,1,6869,1,0.24,Yes,4
CUST0182,48,Male,Single,Private Sector Employee,94365,8567,668,Gold,10,2,5825,3,0.68,Yes,1
CUST0183,56,Male,Widowed,Business Owner,141051,44472,619,Gold,11,4,19567,3,0.44,Yes,2
CUST0184,60,Female,Widowed,Private Sector Employee,87568,5903,382,Silver,18,3,3955,10,0.67,Yes,4
CUST0185,56,Male,Married,Business Owner,66986,36867,818,Diamond,8,3,16590,1,0.45,Yes,2
CUST0186,30,Male,Single,Private Sector Employee,97254,13396,418,Silver,8,2,10850,6,0.81,No,2
CUST0187,23,Female,Divorced,Private Sector Employee,42413,6983,473,Silver,3,2,5027,8,0.72,Yes,1
CUST0188,21,Female,Single,Student,4089,2175,619,Gold,3,1,1392,1,0.64,Yes,5
CUST0189,53,Female,Widowed,Executive,123455,32198,680,Platinum,3,5,13845,1,0.43,Yes,4
CUST0190,34,Male,Single,Business Owner,106157,36731,747,Platinum,6,2,8448,0,0.23,Yes,2
CUST0191,38,Female,Married,Business Owner,197682,14099,760,Gold,2,5,1832,0,0.13,Yes,1
CUST0192,28,Female,Divorced,Government Employee,58128,5650,796,Gold,2,1,1751,0,0.31,Yes,5
CUST0193,62,Male,Single,Executive,208778,57025,339,Silver,4,1,42198,10,0.74,No,3
CUST0194,18,Female,Married,Student,2931,1348,574,Silver,1,2,984,5,0.73,Yes,4
CUST0195,24,Female,Single,Student,4483,3645,585,Silver,2,2,2478,7,0.68,No,3
CUST0196,20,Male,Single,Student,1348,2400,652,Gold,2,2,1128,1,0.47,Yes,4
CUST0197,62,Female,Married,Business Owner,173676,43111,384,Silver,18,3,21986,3,0.51,Yes,1
CUST0198,60,Female,Married,Business Owner,153370,10292,678,Gold,17,2,7101,2,0.69,Yes,5
CUST0199,46,Male,Divorced,Executive,90223,57335,759,Diamond,9,3,22360,0,0.39,Yes,4
CUST0200,49,Female,Married,Business Owner,164297,38933,369,Silver,15,2,33093,8,0.85,No,4
CUST0201,37,Male,Single,Private Sector Employee,93333,9827,593,Silver,10,5,5208,9,0.53,No,5
CUST0202,61,Male,Widowed,Business Owner,120547,33013,493,Silver,16,1,27070,5,0.82,Yes,3
CUST0203,25,Male,Married,Student,1546,4090,744,Gold,3,1,1104,1,0.27,Yes,2
CUST0204,47,Male,Widowed,Executive,210248,66136,627,Gold,19,1,42327,3,0.64,Yes,4
CUST0205,40,Female,Divorced,Business Owner,70271,42610,313,Silver,6,1,23009,3,0.54,Yes,5
CUST0206,60,Female,Single,Private Sector Employee,81320,10919,320,Silver,20,2,7206,3,0.66,Yes,5
CUST0207,47,Female,Divorced,Government Employee,51658,12822,321,Silver,7,1,6923,9,0.54,No,2
CUST0208,24,Male,Married,Student,3421,3300,584,Silver,2,1,1683,5,0.51,Yes,4
CUST0209,18,Female,Divorced,Student,4619,1654,646,Gold,5,2,545,1,0.33,No,4
CUST0210,19,Female,Married,Student,4953,2975,764,Gold,1,2,416,1,0.14,Yes,3
CUST0211,25,Male,Widowed,Student,3199,2634,798,Gold,1,2,316,0,0.12,Yes,1
CUST0212,47,Female,Married,Business Owner,183744,17641,601,Gold,2,1,7938,3,0.45,Yes,2
CUST0213,49,Female,Single,Executive,83504,46427,733,Platinum,6,5,10678,0,0.23,Yes,4
CUST0214,22,Male,Single,Student,4504,2095,374,Silver,2,1,1487,6,0.71,Yes,2
CUST0215,32,Female,Single,Business Owner,126198,15781,645,Gold,6,2,7417,3,0.47,Yes,1
CUST0216,58,Male,Single,Business Owner,166332,44558,333,Silver,8,4,29853,8,0.67,Yes,2
CUST0217,35,Male,Married,Executive,119354,41854,431,Silver,13,1,24693,10,0.59,Yes,3
CUST0218,22,Male,Single,Student,1350,2693,460,Silver,4,2,2369,5,0.88,Yes,5
CUST0219,23,Female,Divorced,Student,3485,4482,697,Gold,5,1,1568,3,0.35,Yes,5
CUST0220,51,Female,Divorced,Government Employee,78228,10727,791,Gold,12,1,2574,0,0.24,Yes,2
CUST0221,55,Female,Married,Executive,105664,30261,523,Silver,1,3,19367,4,0.64,No,4
CUST0222,43,Male,Married,Business Owner,99529,28835,696,Platinum,17,4,12399,3,0.43,Yes,4
CUST0223,29,Female,Married,Government Employee,68426,12140,567,Silver,18,2,10683,7,0.88,Yes,3
CUST0224,44,Male,Single,Government Employee,56409,17241,677,Gold,17,2,7930,3,0.46,Yes,5
CUST0225,63,Male,Married,Executive,173656,22757,683,Platinum,16,4,14564,2,0.64,Yes,1
CUST0226,37,Female,Single,Business Owner,109765,30738,409,Silver,18,3,23360,6,0.76,Yes,2
CUST0227,23,Male,Divorced,Student,3641,2015,729,Gold,1,2,846,0,0.42,Yes,5
CUST0228,37,Female,Widowed,Government Employee,38219,13672,467,Silver,20,5,11347,5,0.83,Yes,3
CUST0229,26,Female,Married,Private Sector Employee,97014,5885,553,Silver,1,5,4531,4,0.77,Yes,2
CUST0230,56,Female,Widowed,Government Employee,72778,7367,804,Gold,17,1,1399,1,0.19,Yes,5
CUST0231,25,Male,Married,Student,3651,3037,316,Silver,5,2,2368,8,0.78,No,2
CUST0232,51,Female,Married,Private Sector Employee,72529,10932,565,Silver,20,1,9401,6,0.86,Yes,3
CUST0233,32,Male,Single,Private Sector Employee,64287,8800,430,Silver,14,2,7128,9,0.81,No,2
CUST0234,19,Male,Divorced,Student,3124,1819,778,Gold,2,2,763,1,0.42,Yes,1
CUST0235,37,Male,Married,Private Sector Employee,94047,18242,453,Silver,19,3,15505,7,0.85,No,2
CUST0236,65,Female,Married,Executive,184367,59339,830,Diamond,13,4,8900,1,0.15,No,4
CUST0237,61,Female,Married,Executive,133426,70839,383,Silver,1,4,58796,9,0.83,Yes,2
CUST0238,61,Female,Divorced,Business Owner,102276,23386,373,Silver,20,2,20813,10,0.89,Yes,4
CUST0239,56,Male,Divorced,Private Sector Employee,86784,15997,830,Gold,20,4,4639,0,0.29,No,3
CUST0240,35,Male,Single,Business Owner,134834,21264,657,Platinum,20,4,10844,2,0.51,Yes,5
CUST0241,23,Female,Married,Private Sector Employee,93194,18334,663,Gold,5,2,7333,1,0.4,No,1
CUST0242,45,Male,Divorced,Executive,107411,55869,535,Silver,13,1,29610,10,0.53,Yes,5
CUST0243,32,Male,Widowed,Business Owner,92942,22196,552,Silver,7,2,17534,9,0.79,Yes,5
CUST0244,31,Female,Widowed,Private Sector Employee,52375,14666,660,Gold,3,1,10119,2,0.69,Yes,4
CUST0245,58,Female,Divorced,Business Owner,154858,24774,397,Silver,2,4,13625,7,0.55,Yes,1
CUST0246,39,Male,Single,Private Sector Employee,70634,18092,417,Silver,5,3,15197,8,0.84,Yes,1
CUST0247,37,Female,Divorced,Government Employee,49247,10662,820,Gold,12,4,2345,1,0.22,Yes,1
CUST0248,45,Female,Single,Executive,118466,47060,572,Silver,19,1,29177,3,0.62,Yes,3
CUST0249,60,Female,Married,Executive,97738,58163,616,Gold,11,4,27336,1,0.47,Yes,4
CUST0250,41,Female,Single,Private Sector Employee,65384,6993,809,Gold,10,5,1048,0,0.15,Yes,3
CUST0251,50,Female,Widowed,Executive,102543,42479,314,Silver,13,4,24213,4,0.57,Yes,2
CUST0252,37,Male,Widowed,Private Sector Employee,43261,5648,561,Silver,17,1,4970,7,0.88,Yes,2
CUST0253,43,Female,Divorced,Business Owner,138721,23378,423,Silver,17,4,14728,5,0.63,No,4
CUST0254,53,Female,Single,Government Employee,50946,12763,545,Silver,1,4,10720,8,0.84,Yes,4
CUST0255,54,Male,Divorced,Government Employee,40262,17559,626,Gold,14,4,11588,3,0.66,No,5
CUST0256,39,Female,Single,Private Sector Employee,82034,9269,739,Gold,2,2,3336,0,0.36,Yes,4
CUST0257,35,Female,Divorced,Government Employee,78902,6624,692,Gold,18,5,2119,1,0.32,Yes,4
CUST0258,48,Male,Divorced,Business Owner,93914,31540,727,Platinum,8,3,11039,0,0.35,Yes,4
CUST0259,60,Female,Single,Business Owner,73730,24770,843,Platinum,12,3,5944,1,0.24,Yes,5
CUST0260,33,Male,Married,Private Sector Employee,55737,7410,638,Gold,11,1,2667,3,0.36,Yes,2
CUST0261,22,Female,Divorced,Student,4306,3197,739,Gold,3,1,1566,0,0.49,Yes,4
CUST0262,20,Male,Married,Student,396,4456,379,Silver,3,2,3876,7,0.87,Yes,2
CUST0263,30,Female,Married,Government Employee,49069,16306,589,Silver,12,4,10109,7,0.62,Yes,5
CUST0264,38,Female,Widowed,Business Owner,179761,44924,560,Silver,6,1,39083,10,0.87,Yes,5
CUST0265,46,Female,Divorced,Business Owner,105417,32935,424,Silver,1,2,27336,10,0.83,No,3
CUST0266,44,Female,Widowed,Government Employee,73115,8550,533,Silver,16,4,5130,7,0.6,Yes,3
CUST0267,64,Female,Single,Executive,112314,58041,697,Platinum,8,5,21475,1,0.37,Yes,5
CUST0268,61,Female,Widowed,Executive,88678,52219,351,Silver,6,2,37075,6,0.71,No,2
